time,s1,s2
3.28,0.010066055432330101,0.08993394456766986
3.29,0.009995838987956564,0.09000416101204341
3.3,0.00992611235760478,0.09007388764239518
3.31,0.009856872129042932,0.09014312787095703
3.32,0.0097881149143256,0.09021188508567436
3.33,0.009719837349652974,0.090280162650347
3.34,0.009652036095232009,0.09034796390476796
3.35,0.009584707834169594,0.09041529216583037
3.36,0.00951784923437912,0.09048215076562084
3.37,0.009451457000279669,0.09054854299972029
3.38,0.009385527877935161,0.09061447212206479
3.39,0.009320058636167342,0.0906799413638326
3.4,0.009255046066407552,0.0907449539335924
3.41,0.009190486982550013,0.09080951301744994
3.42,0.00912637822080676,0.0908736217791932
3.43,0.009062716639564122,0.09093728336043583
3.44,0.008999499119240847,0.0910005008807591
3.45,0.008936722562147746,0.09106327743785221
3.46,0.008874383892349005,0.09112561610765096
3.47,0.008812480055525021,0.09118751994447494
3.48,0.008751008018836888,0.09124899198116307
3.49,0.008689964770792417,0.09131003522920754
3.5,0.008629347321113806,0.09137065267888615
3.51,0.008569152700606842,0.09143084729939312
3.52,0.008509377961031742,0.09149062203896821
3.53,0.008450020174975566,0.0915499798250244
3.54,0.008391076435726211,0.09160892356427375
3.55,0.00833254385714802,0.09166745614285193
3.56,0.008274419573558957,0.091725580426441
3.57,0.0082167007396094,0.09178329926039056
3.58,0.008159384530162487,0.09184061546983747
3.59,0.00810246814017611,0.09189753185982386
3.6,0.008045948784586435,0.09195405121541353
3.61,0.007989823698193064,0.0920101763018069
3.62,0.007934090135545765,0.09206590986445419
3.63,0.007878745370832796,0.09212125462916715
3.64,0.007823786697770823,0.09217621330222914
3.65,0.007769211429496431,0.09223078857050351
3.66,0.007715016892266993,0.09228498310773295
3.67,0.007661200391313785,0.09233879960868617
3.68,0.0076077592810651655,0.09239224071893479
3.69,0.00755469094247185,0.0924453090575281
3.7,0.0075019927748077074,0.09249800722519223
3.71,0.007449662195550215,0.09255033780444974
3.72,0.007397696640262152,0.0926023033597378
3.73,0.007346093562474592,0.09265390643752536
3.74,0.0072948504335711385,0.09270514956642882
3.75,0.007243964742673472,0.09275603525732648
3.76,0.0071934339965281134,0.09280656600347184
3.77,0.007143255719394508,0.09285674428060545
3.78,0.007093427452934356,0.0929065725470656
3.79,0.007043946756102217,0.09295605324389773
3.8,0.006994811205037389,0.09300518879496256
3.81,0.006946018392957053,0.0930539816070429
3.82,0.006897565930050703,0.09310243406994925
3.83,0.006849451443375819,0.09315054855662414
3.84,0.006801672576754848,0.0931983274232451
3.85,0.00675422699067342,0.09324577300932653
3.86,0.006707112362179868,0.09329288763782008
3.87,0.006660326384785983,0.09333967361521396
3.88,0.006613866768369082,0.09338613323163088
3.89,0.006567731239075306,0.09343226876092466
3.9,0.00652191753922422,0.09347808246077574
3.91,0.006476423427214666,0.09352357657278529
3.92,0.006431246677431897,0.09356875332256806
3.93,0.006386385080155974,0.09361361491984398
3.94,0.006341836441471445,0.0936581635585285
3.95,0.006297598583178278,0.09370240141682167
3.96,0.006253669342704087,0.09374633065729586
3.97,0.006210046559962355,0.0937899534400376
3.98,0.006166728067121269,0.09383327193287869
3.99,0.006123711739651795,0.09387628826034816
4.0,0.006080995469392648,0.09391900453060731
4.01,0.006038577162918677,0.09396142283708128
4.02,0.0059964547414439896,0.09400354525855596
4.03,0.005954626140726078,0.09404537385927388
4.04,0.005913089310970962,0.094086910689029
4.05,0.005871842216739331,0.09412815778326061
4.06,0.0058308828368537164,0.09416911716314624
4.07,0.005790209164306665,0.09420979083569328
4.08,0.0057498192061699385,0.09425018079383002
4.09,0.005709710983504701,0.09429028901649525
4.1,0.00566988253127274,0.0943301174687272
4.11,0.005630331898248697,0.09436966810175125
4.12,0.005591057146933306,0.09440894285306664
4.13,0.005552056353467638,0.09444794364653232
4.14,0.0055133276075483755,0.09448667239245158
4.15,0.005474869012344078,0.09452513098765589
4.16,0.0054366786844124914,0.09456332131558746
4.17,0.005398754753618827,0.09460124524638112
4.18,0.005361095363055087,0.09463890463694487
4.19,0.005323698668960389,0.09467630133103956
4.2,0.005286562840642315,0.09471343715935764
4.21,0.005249686060399249,0.0947503139396007
4.22,0.005213066523443745,0.09478693347655621
4.23,0.005176702437826906,0.09482329756217306
4.24,0.005140592024363783,0.09485940797563616
4.25,0.005104733516559758,0.0948952664834402
4.26,0.005069125160537967,0.09493087483946198
4.27,0.0050337652149615745,0.09496623478503838
4.28,0.004998651933689719,0.09500134806631023
4.29,0.0049637835811930375,0.09503621641880691
4.3,0.004929158448585635,0.09507084155141432
4.31,0.004894774838934313,0.09510522516106563
4.32,0.004860631067180634,0.09513936893281932
4.33,0.004826725460063844,0.09517327453993611
4.34,0.004793056356044592,0.09520694364395536
4.35,0.004759622105229518,0.09524037789477044
4.36,0.004726421069296657,0.09527357893070329
4.37,0.004693451621421695,0.09530654837857826
4.38,0.004660712146205027,0.09533928785379493
4.39,0.0046282010395996805,0.09537179896040028
4.4,0.004595916708840051,0.0954040832911599
4.41,0.004563857572371502,0.09543614242762846
4.42,0.00453202205978075,0.0954679779402192
4.43,0.004500408611727129,0.09549959138827284
4.44,0.004469015679874668,0.09553098432012529
4.45,0.004437841726825012,0.09556215827317494
4.46,0.004406885226051156,0.0955931147739488
4.47,0.004376144661832043,0.0956238553381679
4.48,0.0043456185291879685,0.095654381470812
4.49,0.00431530533381685,0.09568469466618311
4.5,0.004285203592031292,0.09571479640796866
4.51,0.004255311830696513,0.09574468816930344
4.52,0.004225628587169102,0.09577437141283085
4.53,0.004196152409236601,0.09580384759076335
4.54,0.004166881855057933,0.09583311814494203
4.55,0.004137815493104648,0.09586218450689532
4.56,0.004108951902103011,0.09589104809789695
4.57,0.004080289670976937,0.09591971032902302
4.58,0.004051827397412554,0.09594817260258741
4.59,0.004023563667462428,0.09597643633253752
4.6,0.003995497088697265,0.09600450291130269
4.61,0.003967626285620008,0.09603237371437995
4.62,0.003939949892351367,0.09606005010764858
4.63,0.00391246655256674,0.0960875334474332
4.64,0.0038851749194338345,0.09611482508056611
4.65,0.0038580736555509304,0.09614192634444903
4.66,0.003831161432885821,0.09616883856711413
4.67,0.003804436932715397,0.09619556306728455
4.68,0.003777898845565912,0.09622210115443404
4.69,0.0037515458711539005,0.09624845412884606
4.7,0.0037253767183277704,0.09627462328167219
4.71,0.00369939010501004,0.09630060989498992
4.72,0.0036735847581402543,0.0963264152418597
4.73,0.003647959413618555,0.0963520405863814
4.74,0.003622512816249929,0.09637748718375003
4.75,0.0035972437196890887,0.09640275628031086
4.76,0.0035721508863860506,0.0964278491136139
4.77,0.0035472330875323532,0.0964527669124676
4.78,0.0035224891030079474,0.096477510896992
4.79,0.0034979177213287542,0.0965020822786712
4.8,0.003473517739594867,0.0965264822604051
4.81,0.00344928796343944,0.0965507120365605
4.82,0.003425227206978222,0.09657477279302172
4.83,0.003401334292759773,0.09659866570724018
4.84,0.0033776080517163103,0.09662239194828363
4.85,0.003354047323115257,0.0966459526768847
4.86,0.0033306509545114223,0.09666934904548853
4.87,0.0033074178016998697,0.09669258219830008
4.88,0.0032843467286694248,0.09671565327133053
4.89,0.0032614366036956945,0.09673856339630424
4.9,0.003238686288518231,0.09676131371148172
4.91,0.003216094666186891,0.09678390533381305
4.92,0.0031936606295096164,0.09680633937049032
4.93,0.0031713830790365202,0.09682861692096342
4.94,0.003149260923009228,0.09685073907699071
4.95,0.0031272930773107686,0.09687270692268918
4.96,0.0031054784654159797,0.09689452153458397
4.97,0.00308381601834247,0.09691618398165747
4.98,0.003062304674602108,0.09693769532539784
4.99,0.0030409433801530574,0.09695905661984688
5.0,0.00301973108835233,0.09698026891164761
5.01,0.0029986667599088963,0.09700133324009104
5.02,0.00297774936283732,0.09702225063716262
5.03,0.002956977872411933,0.09704302212758802
5.04,0.002936351271121553,0.09706364872887839
5.05,0.0029158685486247206,0.09708413145137522
5.06,0.002895528701705493,0.09710447129829446
5.07,0.002875330734229759,0.09712466926577018
5.08,0.00285527365710211,0.09714472634289784
5.09,0.0028353564882232173,0.09716464351177671
5.1,0.0028155782524477754,0.09718442174755217
5.11,0.0027959379815429646,0.09720406201845698
5.12,0.0027764347141474655,0.09722356528585248
5.13,0.0027570674957309864,0.09724293250426895
5.14,0.002737835378554351,0.09726216462144559
5.15,0.002718737421630111,0.09728126257836983
5.16,0.0026997726906837,0.09730022730931624
5.17,0.002680940258115117,0.09731905974188482
5.18,0.002662239202961153,0.09733776079703879
5.19,0.0026436686108581536,0.09735633138914179
5.2,0.0026252275670758285,0.09737477243292413
5.21,0.0026069151571277817,0.09739308484287218
5.22,0.002588730483352686,0.09741126951664726
5.23,0.002570672654548429,0.09742932734545152
5.24,0.0025527407857478326,0.09744725921425211
5.25,0.0025349339981780333,0.09746506600182192
5.26,0.0025172514192203003,0.09748274858077964
5.27,0.002499692182370292,0.09750030781762967
5.28,0.0024822554271987404,0.09751774457280121
5.29,0.00246494029931258,0.09753505970068738
5.3,0.0024477459503164972,0.09755225404968346
5.31,0.0024306715377749293,0.09756932846222503
5.32,0.0024137162251744873,0.09758628377482546
5.33,0.0023968791818868257,0.09760312081811313
5.34,0.0023801595831319296,0.09761984041686803
5.35,0.002363556609941854,0.09763644339005809
5.36,0.0023470694491248873,0.09765293055087507
5.37,0.0023306972932301555,0.0976693027067698
5.38,0.0023144393405126564,0.09768556065948729
5.39,0.0022982947948987304,0.09770170520510121
5.4,0.002282262865951968,0.09771773713404798
5.41,0.0022663427688395547,0.0977336572311604
5.42,0.0022505337242990386,0.09774946627570091
5.43,0.0022348349586055476,0.0977651650413944
5.44,0.00221924570353943,0.09778075429646052
5.45,0.002203765196354344,0.0977962348036456
5.46,0.002188392679745761,0.09781160732025419
5.47,0.0021731274018199236,0.09782687259818003
5.48,0.0021579686160632266,0.09784203138393673
5.49,0.0021429155813120437,0.09785708441868791
5.5,0.0021279675615775272,0.09787203243842242
5.51,0.0021131238162177945,0.09788687618378215
5.52,0.002098383612200872,0.09790161638779908
5.53,0.0020837462271271227,0.09791625377287283
5.54,0.002069210943647336,0.09793078905635261
5.55,0.002054777049429583,0.09794522295057036
5.56,0.0020404438371264245,0.09795955616287352
5.57,0.002026210604342468,0.09797378939565747
5.58,0.002012076653602275,0.09798792334639768
5.59,0.001998041292318602,0.09800195870768134
5.6,0.0019841038327610082,0.09801589616723894
5.61,0.0019702635920247984,0.09802973640797516
5.62,0.001956519892000323,0.09804348010799963
5.63,0.0019428720593426129,0.09805712794065734
5.64,0.0019293194254413764,0.09807068057455857
5.65,0.0019158613263913354,0.09808413867360861
5.66,0.0019024971029629166,0.09809750289703703
5.67,0.001889226100573278,0.09811077389942668
5.68,0.001876047669257698,0.09812395233074224
5.69,0.0018629611636413023,0.09813703883635866
5.7,0.0018499659429111477,0.0981500340570888
5.71,0.0018370613707886408,0.09816293862921131
5.72,0.0018242468155023174,0.09817575318449763
5.73,0.001811521649760962,0.09818847835023899
5.74,0.0017988852507270833,0.09820111474927287
5.75,0.001786336999990724,0.09821366300000924
5.76,0.0017738762835436328,0.09822612371645632
5.77,0.0017615024917537762,0.09823849750824618
5.78,0.0017492150193402002,0.09825078498065976
5.79,0.0017370132653482429,0.09826298673465171
5.8,0.0017248966331250874,0.09827510336687487
5.81,0.0017128645292658192,0.09828713547073413
5.82,0.001700916356255986,0.09829908364374396
5.83,0.0016890515265769724,0.09831094847342298
5.84,0.0016772694587451802,0.09832273054125477
5.85,0.0016655695753435727,0.09833443042465638
5.86,0.0016539513029950937,0.09834604869700486
5.87,0.001642414072336378,0.09835758592766358
5.88,0.0016309573179917325,0.09836904268200822
5.89,0.0016195804785474111,0.09838041952145253
5.9,0.0016082829965261632,0.0983917170034738
5.91,0.0015970643183620746,0.09840293568163787
5.92,0.0015859238943756763,0.09841407610562428
5.93,0.0015748611787493498,0.0984251388212506
5.94,0.0015638756295030046,0.09843612437049694
5.95,0.0015529667084700478,0.0984470332915299
5.96,0.0015421338812736237,0.09845786611872634
5.97,0.0015313766173031462,0.09846862338269681
5.98,0.001520694389691108,0.09847930561030885
5.99,0.0015100866752901772,0.09848991332470979
6.0,0.001499552954650568,0.09850044704534938
6.01,0.0014890927119977013,0.09851090728800224
6.02,0.0014787054352101447,0.09852129456478981
6.03,0.0014683906157978337,0.09853160938420212
6.04,0.00145814774888058,0.09854185225111937
6.05,0.001447976333166854,0.09855202366683309
6.06,0.0014378758709328572,0.09856212412906709
6.07,0.0014278458680018712,0.09857215413199809
6.08,0.0014178858337238979,0.09858211416627605
6.09,0.0014079952809555691,0.09859200471904438
6.1,0.0013981737260403474,0.09860182627395961
6.11,0.0013884206887890087,0.09861157931121094
6.12,0.0013787356900154288,0.09862126430998451
6.13,0.0013691182485396,0.09863088175146034
6.14,0.0013595678925686148,0.09864043210743133
6.15,0.0013500841540544156,0.09864991584594553
6.16,0.0013406665682226414,0.0986593334317773
6.17,0.0013313146735512392,0.09866868532644871
6.18,0.0013220280117493101,0.09867797198825064
6.19,0.0013128061277361794,0.09868719387226377
6.2,0.0013036485696206967,0.09869635143037925
6.21,0.001294554888680757,0.09870544511131918
6.22,0.0012855246393430576,0.09871447536065689
6.23,0.0012765573791630742,0.09872344262083688
6.24,0.0012676526688052726,0.09873234733119467
6.25,0.0012588100720235381,0.09874118992797641
6.26,0.0012500291556418407,0.0987499708443581
6.27,0.0012413094895351218,0.09875869051046482
6.28,0.0012326506466104113,0.09876734935338953
6.29,0.0012240522027881736,0.09877594779721177
6.3,0.001215513736983873,0.09878448626301607
6.31,0.001207034831089775,0.09879296516891017
6.32,0.0011986150699569713,0.09880138493004298
6.33,0.0011902540413776333,0.09880974595862231
6.34,0.001181951336067489,0.09881804866393246
6.35,0.0011737065476485318,0.09882629345235142
6.36,0.0011655192726319546,0.09883448072736799
6.37,0.0011573891104013133,0.09884261088959863
6.38,0.001149315663195911,0.09885068433680404
6.39,0.0011412985360944184,0.09885870146390553
6.4,0.0011333373369987142,0.09886666266300123
6.41,0.0011254316766179599,0.09887456832338198
6.42,0.001117581168452892,0.09888241883154705
6.43,0.0011097854248680386,0.0988902145751319
6.44,0.0011020440598437735,0.09889795594015617
6.45,0.0010943566939799932,0.09890564330601995
